Date_clean,Month,Year,Type,Country,Activity,Sex,Age,Injury,Fatal,Species,nombre,name,nom,iso2,iso3,phone_code
1931-01-01,1,1931,Unprovoked,Tonga,swimming,M,,fatal,Y,,Tonga,Tonga,Tonga,TO,TON,676
1930-12-13,12,1930,Unprovoked,Australia,boating,M,,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
2030-11-30,11,2030,Unprovoked,Australia,fishing,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
1930-08-31,8,1930,Unprovoked,Australia,fishing,M,17.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
1930-08-16,8,1930,Unprovoked,Spain,swimming,M,38.0,injury,N,,España,Spain,Espagne,ES,ESP,34
1930-08-06,8,1930,Unprovoked,United States of America,swimming,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2030-05-27,5,2030,Unprovoked,United States of America,swimming,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1930-03-07,3,1930,Unprovoked,United States of America,diving,M,,no injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2030-02-20,2,2030,Unprovoked,Australia,diving,M,19.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
1930-01-01,1,1930,Unprovoked,South Africa,swimming,M,,fatal,Y,,Sudáfrica,South Africa,Afrique du Sud,ZA,ZAF,27
1929-12-21,12,1929,Unprovoked,Australia,diving,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
2029-11-21,11,2029,Unprovoked,Cuba,fishing,M,,injury,N,,Cuba,Cuba,Cuba,CU,CUB,53
2029-10-20,10,2029,Unprovoked,Australia,diving,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
2029-10-02,10,2029,Unprovoked,Spain,fishing,M,,injury,N,,España,Spain,Espagne,ES,ESP,34
1929-08-05,8,1929,Unprovoked,United States of America,swimming,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2029-07-29,7,2029,Unprovoked,Mexico,swimming,M,,injury,N,,México,Mexico,Mexique,MX,MEX,52
2029-06-23,6,2029,Provoked,United States of America,fishing,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1929-04-26,4,1929,Unprovoked,Australia,diving,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
1929-04-17,4,1929,Unprovoked,Australia,diving,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
1929-04-04,4,1929,Unprovoked,Australia,swimming,M,,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
2029-03-04,3,2029,Unprovoked,Australia,surf,M,9.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
2029-03-04,3,2029,Unprovoked,Australia,surf,M,12.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
1929-01-14,1,1929,Unprovoked,New Zealand,swimming,F,,injury,N,,Nueva Zelanda,New Zealand,Nouvelle-Zélande,NZ,NZL,64
1929-01-05,1,1929,Unprovoked,Fiji,diving,M,,fatal,Y,,Fiyi,Fiji,Fidji,FJ,FJI,679
1929-01-01,1,1929,Invalid,Australia,swimming,M,,injury,,,Australia,Australia,Australie,AU,AUS,61
1929-01-01,1,1929,Provoked,United States of America,fishing,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
